Tree Size(Defenses),Dummiest,BILP,BDD-BU,BDD-ALL-DEF,BU
6(2),0.25,4.73,0.19,0.61,0.03
12(4),3.85,11.49,0.34,2.10,0.06
17(6),93.58,35.20,0.54,11.77,0.08
25(9),8187.13,268.24,0.76,108.72,0.09
30(10),28742.72,687.56,1.27,293.21,0.13
35(11),318310.62,658.56,1.46,660.12,0.15
42(14),11573800.61,15155.51,2.84,6342.88,0.21
48(16),,41206.34,3.29,27490.14,0.20
54(18),,188445.14,5.94,139593.04,0.22
60(20),,899425.25,4.93,544237.95,0.24
66(22),,3169231.15,9.49,2338290.16,0.26
72(24),,10301890.91,38.60,,0.31
78(26),,,62.84,,0.30
84(28),,,84.52,,0.32
90(30),,,120.44,,0.35
96(32),,,152.72,,0.35
